sentence,entity1,entity1_label,entity1_start,entity1_end,entity2,entity2_label,entity2_start,entity2_end,relation
"IV Let us now move North , towards the district marked "" IV , the Dobu , "" in our map , which forms one of the most important links in the chain of Kula and a very influential centre of cultural influence .",Dobu,LOCATION,59618,59622,Kula,EVENT,59700,59704,part_of
"Tewara is of interest to us , because one of the myths which we shall get to know later on makes it the cradle of the Kula .",Tewara,PERSON,76880,76886,Kula,EVENT,76998,77002,part_of
"The rite stands in close connection to the myth of the flying canoe , localised in Kudayuri , a place in the Island of Kitava , and many allusions are made to this myth .",Kudayuri,MYTH,272032,272040,Kitava,LOCATION,272068,272074,part_of
"The two big settlements of Sinaketa and Vakuta play a great part in the Kula , and settlements also are the only two communities in the whole Trobriands where the red shell discs are made .",Vakuta,PERSON,130043,130049,Trobriands,ORG,130145,130155,part_of
"The two big settlements of Sinaketa and Vakuta play a great part in the Kula , and settlements also are the only two communities in the whole Trobriands where the red shell discs are made .",Sinaktea,ORG,130030,130038,Kula,EVENT,130075,130079,part_of
"We shall meet later on with ceremonial enterprises of the kayasa type , and find that enterprises play a considerable part in the Kula .",enterprises of the kasaya type,EVENT,111446,111450,Kula,EVENT,,,part_of
"We shall meet later on with ceremonial enterprises of the kayasa type , and find that enterprises play a considerable part in the Kula .",kayasa,EVENT,111446,111450,Kula,EVENT,,,part_of
chief even has to pay for any tributes received out of chief stores of wealth .,chief,PERSON,116352,116357,tributes,PERSON,116407,116412,pays
"Nevertheless , for all these services rendered to chief chief has to pay .",chief,PERSON,116327,116332,services,PERSON,116333,116338,pays
Of course chief also has to reward sorcerers when sorcerers do chief a service .,chief,PERSON,118255,118260,sorcerers,PERSON,118308,118313,pays
"Part of the food chief uses to acquire objects of native wealth , or to pay for the making of objects .",chief,PERSON,117490,117495,food,OBJECT,,,pays
"V The main principle underlying the regulations of actual exchange is that the Kula consists in the bestowing of a ceremonial gift , which has to be repaid by an equivalent counter - gift after a lapse of time , be it a few hours or even minutes , though sometimes as much as a year or more may elapse between payments .",equivalent counter - gift,EVENT,189388,189392,ceremonial gift,OBJECT,189527,189538,pays
"A few sprigs of the mint plant are inserted under the boards , as sprigs are put in , and the toliwaga ( owner of the canoe ) hammers the boards in by means of a special stone imported from Dobu , and ritually repeats a formula of the mwasila magic .",toliwaga,PERSON,278724,278732,mwasila magic,MAGIC,278820,278824,performs
"After the long litany has been chanted , the magician repeats the exordium , and finishes exordium off with the conventional onomatopoetic word saydididi -- which is meant to imitate the flying of the witches .",the magician,PERSON,270329,270341,the exordium,MAGIC,,,performs
"Again , in certain magical ceremonies in the Trobriands , the towosi ( garden magician ) has to carry a mounted axe blade on magician shoulders , and with blade magician delivers a ritual blow at a kamkokola structure ( see Plate LIX ; compare Chapter II , Division IV ) .",garden magician,PERSON,176816,176825,ritual blow,EVENT,176836,176846,performs
"Even before any gardening is begun at all , the magician has to consecrate the site with a big ceremonial performance in which all the men of the village take part .",the magician,PERSON,105774,105786,big ceremonial performance,EVENT,,,performs
"I have called another a system , because the magician has to perform a series of rites and spells over the garden , which run parallel with the labour , and which , in fact , initiate each stage of the work and each new development of the plant life .",the magician,PERSON,105519,105531,a series of rites and spells,MAGIC,,,performs
"In one of the wayugo systems , there is an additional rite , in which the toliwaga ( canoe owner ) takes a piece of the creeper , inserts piece into one of the holes pierced in the rim of the dug - out for the lashing , and pulling piece to and fro , recites once more the spell .",toliwaga,PERSON,284246,284252,the spell,MAGIC,284306,284314,performs
"Into this opening , the magician chants the following long spell : KAPITUNENA DUKU SPELL .",the magician,PERSON,268302,268314,long spell,MAGIC,,,performs
"Once the tree is chosen , the toliwaga , the builder and a few helpers repair to the spot , and a preliminary rite must be performed , before builder begin to cut rite down .",toliwaga,PERSON,258832,258840,preliminary rite,MAGIC,,,performs
"The magic over the latter stages ought to have been recited by the present chief , To'uluwa , but as chief has very little capacity for remembering spells , the magic was performed by one of chief kinsmen .",chief kinsmen,PERSON,250645,250650,magic,MAGIC,250735,250740,performs
"The men of the community assemble , and the one who will scoop out the canoe , the builder ( tota'ila waga , "" the cutter of the canoe "" ) performs a magical rite .",the builder,PERSON,267893,267897,magical rite,MAGIC,,,performs
"The second stage of canoe - building is accompanied by Kula magic , and by a series of exorcisms on the canoe , and the magic is performed by the owner of the canoe , and not by the builder or expert .",owner of the canoe,PERSON,257850,257854,magic,MAGIC,,,performs
"The sorcerer has to utter a spell over some substance , and this must be administered by mouth , or else burnt over the fire in the victim 's hut .",sorcerer,PERSON,69018,69026,a spell,MAGIC,,,performs
"Then , in a series of rites , the magician inaugurates successively all the various stages which follow one another -- the burning of the scrub , the clearing , the planting , the weeding and the harvesting .",the magician,PERSON,106081,106093,a series of rites,MAGIC,,,performs
"Then , the services of some rival bwaga'u are invoked ( for the art of killing and curing is always in the same hand ) , and rival utters counter - spells , so that at times the efforts of the first sorcerer , even should rival succeed in burning the herbs according to the dreaded toginivayu rite , are fruitless .",rival bwaga'u,MAGIC,143609,143616,counter - spells,MAGIC,143774,143782,performs
"Then the magician returns to the beginning and recites the spell over again up to the phrase : "" bind thy skirt together and fly , "" which is followed this time by a second tapwana : "" I shall outdistance all my comrades with the bottom of my canoe ; I shall out - distance all my comrades with the prow - board of my canoe , etc . , etc .",the magician,PERSON,287640,287652,the spell,MAGIC,287808,287815,performs
"This expels the evil witchery ( bulubwalata ) , which witchery is only wise to suspect has been cast by some envious rivals , or persons jealous of the toliwaga .",envious rivals,PERSON,291863,291874,bulubwalata,MAGIC,291983,291991,performs
"Uttering powerful spells , the bwaga'u and one or two accomplices , boil some coco - nut oil in a small pot , far away in a dense patch of jungle .",bwaga'u,PERSON,144021,144028,powerful spells,MAGIC,,,performs
"Among these villages are included those of Yalaka , Buduwaylaka , Kudukwaykela , where the quicklime is prepared for betel chewing , and also the lime pots made .",quicklime,OBJECT,124279,124285,betel chewing,MISC,124288,124299,relates_to
"Dancing is done only at one time in the year , in connection with the harvest festivities , called milamala , at which season also the spirits of the dead return from Tuma , the nether - world , to the villages from which villages hail .",Dancing,DATE,98955,98963,harvest festivities,ORG,99086,99090,relates_to
"magic is a department of magic own , and the garden magician , next to the chief and the sorcerer , is the most important personage of the village .",the garden magician,PERSON,105226,105245,sorcerer,PERSON,105274,105282,relates_to
"Ownership of these canoes is even more complex , and Ownership construction is permeated with tribal customs , ceremonial , and magic , the last based on mythology .",Ownership of canoes,NORP,228157,228166,magic,MAGIC,,,relates_to
"The ceremonial nature of the Kula is strictly bound up with another of nature aspects -- magic . """,magic,EVENT,205080,205084,Kula,EVENT,,,relates_to
The construction of the canoes is always carried on directly in connection with a Kula expedition .,The construction of the canoes,EVENT,203034,203038,Kula expedition,EVENT,,,relates_to
The magic is always performed in direct association with Kula expeditions .,magic,EVENT,228327,228331,Kula expeditions,EVENT,,,relates_to
"Every movement of the Kula articles , every detail of the transactions is fixed and regulated by a set of traditional rules and conventions , and some acts of the Kula are accompanied by an elaborate magical ritual and public ceremonies .",rules and conventions,MISC,158047,158051,Every movement of the Kula articles,EVENT,158188,158192,rules
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects personage vassal , is also personage main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",headman of Kabwaku,PERSON,122468,122473,Tilataula,LOCATION,122685,122694,rules
"One of times , Kuboma , subject to the chief of Gumilababa , of high rank , though inferior to the chief of Kiriwina , consists of some ten inland villages , and is very important as a centre of industry .",Kuboma,LOCATION,124045,124051,chief,PERSON,124069,124074,rules
"The belief in the efficiency of magic dominates the Kula , as Kula does ever so many other tribal activities of the natives .",belief in the efficiency of magic,MISC,205202,205206,Kula,EVENT,205212,205216,rules
"The garden magician , according to native ideas , thus controls both the work of man and the forces of Nature .",the garden magician,PERSON,106592,106598,the work of man and the forces of Nature,MISC,,,rules
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",chief,PERSON,121973,121978,Kiriwina,LOCATION,122037,122045,rules
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",The most important chief,PERSON,121973,121978,Kiriwina,LOCATION,122037,122045,rules
