sentence,entity1,entity1_label,entity2,entity2_label,relation
Plate LIX ) .,Plate LIX,PERSON,,,
"magic is a department of magic own , and the garden magician , next to the chief and the sorcerer , is the most important personage of the village .",the garden magician,GPE,chief,PERSON,
"magic is a department of magic own , and the garden magician , next to the chief and the sorcerer , is the most important personage of the village .",the garden magician,GPE,sorcerer,PERSON,
"magic is a department of magic own , and the garden magician , next to the chief and the sorcerer , is the most important personage of the village .",chief,PERSON,sorcerer,PERSON,
"I have called another a system , because the magician has to perform a series of rites and spells over the garden , which run parallel with the labour , and which , in fact , initiate each stage of the work and each new development of the plant life .",the magician,PERSON,,,
"Even before any gardening is begun at all , the magician has to consecrate the site with a big ceremonial performance in which all the men of the village take part .",the magician,PERSON,,,
"This ceremony officially opens the season 's gardening , and only after ceremony is performed do the villagers begin to cut the scrub on villagers plots .",season,DATE,,,
"Then , in a series of rites , the magician inaugurates successively all the various stages which follow one another -- the burning of the scrub , the clearing , the planting , the weeding and the harvesting .",the magician,PERSON,,,
"Also , in another series of rites and spells , magician magically assists the plant in sprouting , in budding , in bursting into leaf , in climbing , in forming the rich garlands of foliage , and in producing the edible tubers .",magician,NORP,,,
"The garden magician , according to native ideas , thus controls both the work of man and the forces of Nature .",Nature,WORK_OF_ART,,,
"Another notion which must be exploded , once and for ever , is that of the Primitive Economic Man of some current economic text books .",the Primitive Economic Man,ORG,,,
"A good garden worker in the Trobriands derives a direct prestige from the amount of labour worker can do , and the size of garden worker can till .",the Trobriands,LOCATION,,,
"Without entering into details of the system of the apportionment of the harvest , of which the sociology is rather complex and would require a preliminary account of the Trobriand kinship system and kinship ideas , it may be said that about three quarters of a man 's crops go partly as tribute to the chief , partly as man due to man sister 's ( or mother 's ) husband and family .",Trobriand,ORG,chief,PERSON,
"The importance of the food display can be gauged by the fact that , in olden days , when the chief 's power was much more considerable than now , it was dangerous for a man who was not either of high rank man , or working for such a one , to show crops which might compare too favourably with those of the chief .",chief,PERSON,chief,PERSON,
"In years when the harvest promises to be plentiful , the chief will proclaim a kayasa harvest , that is to say , ceremonial , competitive display of food , and then the straining for good results and the interest taken in results are still higher .",years,DATE,chief,PERSON,
"We shall meet later on with ceremonial enterprises of the kayasa type , and find that enterprises play a considerable part in the Kula .",Kula,EVENT,,,
"The Trobriander works in a roundabout way , to a large extent for the sake of the work Trobriander , and puts a great deal of æsthetic polish on the arrangement and general appearance of chief garden .",chief,PERSON,,,
"chief is not guided primarily by the desire to satisfy chief wants , but by a very complex set of traditional forces , duties and obligations , beliefs in magic , social ambitions and vanities .",chief,PERSON,chief,PERSON,
"chief wants , if chief is a man , to achieve social distinction as a good gardener and a good worker in general .",chief,PERSON,chief,PERSON,
"I have dwelt at this length upon these points concerning the motives and aims of the Trobrianders in points garden work , because , in the chapters that follow , we shall be studying economic activities , and the reader will grasp the attitude of the natives best if chief has reader illustrated to chief by various examples .",chief,PERSON,chief,PERSON,
"V With the help of this new insight gained into the mind of the native , and into native social scheme of harvest distribution , it will be easier to describe the nature of the chief 's authority .",chief,PERSON,,,
"Chieftainship in the Trobriands is the combination of two institutions : first , that of headmanship , or village authority ; secondly , that of totemic clanship , that is the division of the community into classes or castes , each with a certain more or less definite rank .",the Trobriands,LOCATION,,,
"In every community in the Trobriands , there is one man who wields the greatest authority , though often this does not amount to very much .",the Trobriands,LOCATION,,,
"man is , in many cases , nothing more than the Primus inter pares in a group of village elders , who deliberate on all important matters together , and arrive at a decision by common consent .",Primus,ORG,,,
"In the Trobriands there exist four totemic clans , and each of these is divided into a number of smaller sub - clans,--which could also be called families or castes , for the members of each claim common descent from one ancestress , and each of members holds a certain , specified rank .",the Trobriands,LOCATION,,,
"There is not one sub - clan in the Trobriands whose members can not indicate sub original locality , where members group , in the form of the ancestress , first saw the light of the sun .",the Trobriands,LOCATION,,,
"The highest sub - clan is that of the Tabalu , belonging to the Malasi totem clan .",Tabalu,GPE,,,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,Kiriwina,LOCATION,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,To'uluwa,GPE,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,Omarakana,GPE,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,Plate II,EVENT,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",chief,PERSON,Frontispiece,ORG,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Kiriwina,LOCATION,To'uluwa,GPE,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Kiriwina,LOCATION,Omarakana,GPE,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Kiriwina,LOCATION,Plate II,EVENT,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Kiriwina,LOCATION,Frontispiece,ORG,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",To'uluwa,GPE,Omarakana,GPE,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",To'uluwa,GPE,Plate II,EVENT,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",To'uluwa,GPE,Frontispiece,ORG,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Omarakana,GPE,Plate II,EVENT,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Omarakana,GPE,Frontispiece,ORG,
"To this sub - clan belongs the main chief of Kiriwina , To'uluwa , who resides in the village of Omarakana ( see Plate II and Frontispiece ) .",Plate II,EVENT,Frontispiece,ORG,
"chief is in the first place the headman of chief own village , and in contrast to the headmen of low rank , chief has quite a considerable amount of power .",chief,PERSON,chief,PERSON,
"chief is in the first place the headman of chief own village , and in contrast to the headmen of low rank , chief has quite a considerable amount of power .",chief,PERSON,chief,PERSON,
"chief is in the first place the headman of chief own village , and in contrast to the headmen of low rank , chief has quite a considerable amount of power .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"chief high rank inspires everyone about chief with the greatest and most genuine respect and awe , and the remnants of chief power are still surprisingly large , even now , when white authorities , very foolishly and with fatal results , do authorities utmost to undermine chief prestige and influence .",chief,PERSON,chief,PERSON,
"Not only does the chief -- by which word I shall designate a headman of rank -- possess a high degree of authority within chief own village , but chief sphere of influence extends far beyond village .",chief,PERSON,chief,PERSON,
"Not only does the chief -- by which word I shall designate a headman of rank -- possess a high degree of authority within chief own village , but chief sphere of influence extends far beyond village .",chief,PERSON,chief,PERSON,
"Not only does the chief -- by which word I shall designate a headman of rank -- possess a high degree of authority within chief own village , but chief sphere of influence extends far beyond village .",chief,PERSON,chief,PERSON,
"A number of villages are tributary to chief , and in several respects subject to chief authority .",chief,PERSON,chief,PERSON,
"In case of war , respects are chief allies , and have to foregather in chief village .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"When chief needs men to perform some task , chief can send to chief subject villages , and men will supply chief with workers .",chief,PERSON,chief,PERSON,
"In all big festivities the villages of chief district will join , and the chief will act as master of ceremonies .",chief,PERSON,chief,PERSON,
"Nevertheless , for all these services rendered to chief chief has to pay .",chief,PERSON,chief,PERSON,
chief even has to pay for any tributes received out of chief stores of wealth .,chief,PERSON,chief,PERSON,
"Wealth , in the Trobriands , is the outward sign and the substance of power , and the means also of exercising power .",the Trobriands,LOCATION,,,
But how does chief acquire chief wealth ?,chief,PERSON,chief,PERSON,
And here we come to the main duty of the vassal villages to the chief .,chief,PERSON,,,
"From each subject village , chief takes a wife , whose family , according to the Trobriand law , has to supply chief with large amounts of crops .",chief,PERSON,Trobriand,ORG,
"From each subject village , chief takes a wife , whose family , according to the Trobriand law , has to supply chief with large amounts of crops .",chief,PERSON,chief,PERSON,
"From each subject village , chief takes a wife , whose family , according to the Trobriand law , has to supply chief with large amounts of crops .",Trobriand,ORG,chief,PERSON,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",olden days,DATE,chief,PERSON,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",olden days,DATE,Omarakana,PERSON,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",olden days,DATE,as much as thirty,DATE,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",chief,PERSON,Omarakana,PERSON,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",chief,PERSON,as much as thirty,DATE,
"In olden days , the chief of Omarakana had up to as many as forty consorts , and received perhaps as much as thirty to fifty per cent .",Omarakana,PERSON,as much as thirty,DATE,
of all the garden produce of Kiriwina .,Kiriwina,LOCATION,,,
"Even now , when Omarakana wives number only sixteen , Omarakana has enormous storehouses , and wives are full to the roof with yams every harvest time .",Omarakana,PERSON,Omarakana,PERSON,
"With this supply , Omarakana is able to pay for the many services Omarakana requires , to furnish with food the participants in big feasts , in tribal gatherings or distant expeditions .",Omarakana,PERSON,Omarakana,PERSON,
"Part of the food Omarakana uses to acquire objects of native wealth , or to pay for the making of objects .",Omarakana,PERSON,,,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,GPE,chief,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,GPE,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,GPE,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,GPE,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",chief,PERSON,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",chief,PERSON,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",chief,PERSON,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,PERSON,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,PERSON,Omarakana,PERSON,
"In brief , through Omarakana privilege of practising polygamy , the chief is kept supplied with an abundance of wealth in food stuffs and in valuables , which Omarakana uses to maintain Omarakana high position ; to organise tribal festivities and enterprises , and to pay , according to custom , for the many personal services to which Omarakana is entitled .",Omarakana,PERSON,Omarakana,PERSON,
One point in connection with the chief 's authority deserves special mention .,chief,PERSON,,,
"This in the Trobriands is as a rule done indirectly , by means of sorcery .",the Trobriands,LOCATION,,,
The chief has the best sorcerers of the district always at chief beck and call .,chief,PERSON,chief,PERSON,
Of course chief also has to reward sorcerers when sorcerers do chief a service .,chief,PERSON,chief,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,chief,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,chief,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,sorcerer,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,chief,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,sorcerer,PERSON,
"If anyone offends chief , or trespasses upon chief authority , the chief summons the sorcerer , and orders that the culprit shall die by black magic .",chief,PERSON,sorcerer,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,chief,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,chief,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,sorcerer,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,chief,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,sorcerer,PERSON,
"And here the chief is powerfully helped in achieving chief end by the fact that chief can do this openly , so that everybody , and the victim victim knows that a sorcerer is after victim .",chief,PERSON,sorcerer,PERSON,
"Only in extreme cases , does a chief inflict direct punishment on a culprit .",chief,PERSON,,,
"chief has one or two hereditary henchmen , whose duty it is to kill the man who has so deeply offended chief , that actual death is the only sufficient punishment .",chief,PERSON,chief,PERSON,
"Thus the chief 's position can be grasped only through the realisation of the high importance of wealth , of the necessity of paying for everything , even for services which are due to chief , and which could not be withheld .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Again , this wealth comes to the chief from chief relations - in - law , and it is through chief right to practise polygamy that chief actually achieves chief position , and exercises chief power .",chief,PERSON,chief,PERSON,
"Side by side with this rather complex mechanism of authority , the prestige of rank , the direct recognition of chief personal superiority , give the chief an immense power , even outside chief district .",chief,PERSON,chief,PERSON,
"Side by side with this rather complex mechanism of authority , the prestige of rank , the direct recognition of chief personal superiority , give the chief an immense power , even outside chief district .",chief,PERSON,chief,PERSON,
"Side by side with this rather complex mechanism of authority , the prestige of rank , the direct recognition of chief personal superiority , give the chief an immense power , even outside chief district .",chief,PERSON,chief,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,the Trobriands,LOCATION,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,chief,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,Omarakana,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,these days,DATE,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",the Trobriands,LOCATION,chief,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",the Trobriands,LOCATION,Omarakana,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",the Trobriands,LOCATION,these days,DATE,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,Omarakana,PERSON,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",chief,PERSON,these days,DATE,
"Except for the few of chief own rank , no native in the Trobriands will remain erect when the great chief of Omarakana approaches , even in these days of tribal disintegration .",Omarakana,PERSON,these days,DATE,
"Wherever chief goes , chief is considered as the most important person , is seated on a high platform , and treated with consideration .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
"Of course the fact that chief is accorded marks of great deference , and approached in the manner as if chief were a supreme despot , does not mean that perfect good fellowship and sociability do not reign in chief personal relations with chief companions and vassals .",chief,PERSON,chief,PERSON,
There is no difference in interests or outlook between chief and chief subjects .,chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"chief sit together and chat , chief exchange village gossip , the only difference being that the chief is always on chief guard , and much more reticent and diplomatic than the other , though chief is no less interested .",chief,PERSON,chief,PERSON,
"The chief , unless chief is too old , joins in dances and even in games , and indeed chief takes precedence as a matter of course .",chief,PERSON,chief,PERSON,
"The chief , unless chief is too old , joins in dances and even in games , and indeed chief takes precedence as a matter of course .",chief,PERSON,chief,PERSON,
"The chief , unless chief is too old , joins in dances and even in games , and indeed chief takes precedence as a matter of course .",chief,PERSON,chief,PERSON,
"In trying to realise the social conditions among the Trobrianders and conditions neighbours , it must not be forgotten that conditions social organisation is in certain respects complex and ill - defined .",Trobrianders,WORK_OF_ART,,,
"The narrow social outlook of the native who does not see beyond chief own district , the prevalence of singularities and exceptional cases is one of the leading characteristics of native sociology , one which for many reasons has not been sufficiently recognised .",chief,PERSON,,,
"But the main outlines of chieftainship here presented , will be enough to give a clear idea of chieftainship and of some of the flavour of outlines institutions , as much , in fact , as is necessary , in order to understand the chief 's rôle in the Kula .",chief,PERSON,Kula,EVENT,
"But chieftainship must to a certain extent be supplemented by the concrete data , bearing upon the political divisions of the Trobriands .",the Trobriands,LOCATION,,,
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",chief,PERSON,Omarakana,GPE,
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",chief,PERSON,Kiriwina,LOCATION,
"The most important chief is , as said , the one who resides in Omarakana and rules Kiriwina , agriculturally the richest and most important district .",Omarakana,GPE,Kiriwina,LOCATION,
"chief family , or sub - clan , the Tabalu , are acknowledged to have by far the highest rank in all the Archipelago .",chief,PERSON,Tabalu,GPE,
"chief family , or sub - clan , the Tabalu , are acknowledged to have by far the highest rank in all the Archipelago .",chief,PERSON,Archipelago,LOC,
"chief family , or sub - clan , the Tabalu , are acknowledged to have by far the highest rank in all the Archipelago .",Tabalu,GPE,Archipelago,LOC,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",Kula,EVENT,Kiriwina,LOCATION,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",Kula,EVENT,chief,PERSON,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",Kula,EVENT,chief,PERSON,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",Kiriwina,LOCATION,chief,PERSON,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",Kiriwina,LOCATION,chief,PERSON,
"family fame is spread over the whole Kula district ; the entire province of Kiriwina derives prestige from prestige chief , and prestige inhabitants also keep all chief personal taboos , which is a duty but also a distinction .",chief,PERSON,chief,PERSON,
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects chief vassal , is also chief main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",chief,PERSON,some two miles,QUANTITY,
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects chief vassal , is also chief main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",chief,PERSON,chief,PERSON,
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects chief vassal , is also chief main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",chief,PERSON,chief,PERSON,
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects chief vassal , is also chief main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",chief,PERSON,Kabwaku,GPE,
"Next to the high chief , there resides in a village some two miles distant , a personage who , though in several respects chief vassal , is also chief main foe and rival , the headman of Kabwaku , and ruler of the province of Tilataula .",chief,PERSON,Tilataula,GPE,
